Pedido;Material;Material Description;Plant;Customer;Customer Name;Attribute9Description;Ordem de Compra;ShipTo;RDD;RDD_HEADER;Status;Sales Doc type;Size;ConfirmedQty;Gross Carteira;PDV;Origin;Division_desc;BrandDesc;Gender;KeyCategory;RDD_Month;NF_Number;Billing_Date;Billing_Month;SeasonSO;LastRefreshUpdate;CNPJ
7001920342;JI2307;TENIS BARREDA                           ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE Q1/Q2 LOJA 40;7000013091;20/03/2025;01/12/2024;Faturado;PRE FUT (ZFUT);34/2, 35/2, 36/2, 38/2, 39/3, 40/3, 41/3, 42/2, 43/2, 44/1;22;3228,44;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-03;173855;14/03/2025;2025-03;25S;2025-04-24 10:05:51.047;7387469000255
7001920342;JI2307;TENIS BARREDA                           ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE Q1/Q2 LOJA 40;7000013091;20/03/2025;01/12/2024;Em Processo de Faturamento;PRE FUT (ZFUT);37/2;2;293,5;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-03;NULL;NULL;Not Invoiced;25S;2025-04-24 10:05:51.047;7387469000255
7001920342;JI3471;TENIS HOOPS 4 0 J                       ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);PRE Q1/Q2 LOJA 40;7000013091;02/01/2025;01/12/2024;Faturado;PRE FUT (ZFUT);33/1, 34/1, 35/3, 36/3, 37/2, 38/2;12;1760,97;349,99;Imported;Footwear;Adidas;Unissex;BASKETBALL;2025-01;131405;23/12/2024;2024-12;25S;2025-04-24 10:05:51.047;7387469000255
7001948509;IQ5680;TENIS GRAND COURT BASE 2 0              ;7050;7000013091;RMB COMERCIO DE CALÇADOS LTDA;DI GASPI (M B R);NAC-PRE Q1/Q2 LOJA 4;7000013091;20/03/2025;20/03/2025;Faturado;PRE FUT (ZFUT);34/2, 35/2, 36/2, 37/2, 38/2, 39/2, 40/3, 41/3, 42/2, 43/2, 44/1, 45/1;24;3325,76;299,99;Local;Footwear;Adidas;Male;SPORTSWEAR;2025-03;173855;14/03/2025;2025-03;25S;2025-04-24 10:05:51.047;7387469000255
7002116597;ID3714;TENIS VL COURT BASE                     ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;01/10/2025;01/10/2025;Aguardando chegada;PRE FUT (ZFUT);36/3, 37/3, 34/1, 38/2, 35/2, 39/1;12;1761,01;349,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-10;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002116597;IH6184;TENIS GRAND COURT BASE 00S              ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;01/10/2025;01/10/2025;Aguardando chegada;PRE FUT (ZFUT);43/2, 39/1, 40/2, 41/3, 42/3, 44/1;12;2012,54;399,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-10;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002116597;JP8275;TENIS STREETALK                         ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;01/10/2025;01/10/2025;Aguardando chegada;PRE FUT (ZFUT);40/2, 44/1, 41/3, 42/3, 39/1, 43/2;12;1761,01;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-10;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002116597;JP8276;TENIS STREETALK                         ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;01/10/2025;01/10/2025;Aguardando chegada;PRE FUT (ZFUT);44/1, 39/1, 40/2, 42/3, 43/2, 41/3;12;1761,01;349,99;Imported;Footwear;Adidas;Male;SPORTSWEAR;2025-10;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002116597;JP8282;TENIS STREETALK                         ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;01/10/2025;01/10/2025;Aguardando chegada;PRE FUT (ZFUT);38/3, 35/1, 40/1, 36/2, 39/2, 37/3;12;1761,01;349,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-10;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
7002116597;JR4700;TENIS STREETTALK                        ;7050;7000002491;BM II COMERCIO DE CALCADOS LtdA;DI GASPI (M B R);PRE_Q3Q4 LOJA B;7000002491;01/10/2025;01/10/2025;Aguardando chegada;PRE FUT (ZFUT);37/3, 36/2, 35/1, 40/1, 39/2, 38/3;12;1761,01;349,99;Imported;Footwear;Adidas;Female;SPORTSWEAR;2025-10;NULL;NULL;Not Invoiced;25F;2025-04-24 10:05:51.047;1985562000102
